"","Date_Time","Species","Ind","Rec","TRJ","Exp","Session","GS","Sex","ExT","Traj_num","T","RH","c","ta_mic","t_emit","Raw_X","Raw_Y","Raw_Z","Int01_X","Int01_Y","Int01_Z","Int01_angle2mic","Int01_speed","Int01_vel2mic","dur_Th12","dur_E12","FS_Th12","FS_E12","F_MAmp_Th12","F_MAmp_E12","PF_Th12","PF_E12","FE_Th12","FE_E12","LF12_Th12","LF12_E12","HF12_Th12","HF12_E12","peSL_dB_Th12","peSL_dB_E12","rmsSL_Th12","rmsSL_E12","SNR_Th12","SNR_E12","rmsSL_Th12_10cm","rmsSL_E12_10cm","E1","E2","BW","Harmonic","Q_0.75","Q_0.9","PC","Mean_dur_E12","Mean_PF_E12","Mean_LF12_E12","Mean_rmsSL_E12","AAFp","AAmeanFp","AALoF12","AAmeanLoF12","RHfix","thrDur1","avrgDD_RH100","realDD2_RH100","realDD_RH100","frqDD_RH100","rmsDD_RH100","durDD_RH100","TG"
"43","2019-04-10 00:00:00","M.oxyotus","001","3","2","2","2019-04-09_008","M.oxyotus","H","22","2",21.8,100,346,7.7917,7.7869,-0.75,0.94,2.26,-0.75,0.94,2.26,48.47,2.58,1.71,2.1,1.7,84.75,78.6,55.71,55.71,53.75,54,99.55,97.07,44500,45000,115750,115750,88.7,88.7,83.1,83.6,17.76,18.22,103.1,103.6,106.322192947339,105.904489213783,70.75,"1st",102.35,103.1,"Si",1.7,54,45892.8571428571,87.6285714285714,-1.83970145878465,-1.83970145878465,-1.35547193926938,-1.4017853353941,"100",20,1.2,0.99,0.99,1.2,0.99,1.2,20
"44","2019-04-10 00:00:10","M.oxyotus","001","4","1","2","2019-04-09_008","M.oxyotus","H","22","2",21.8,100,346,0.5281,0.525,-0.27,0.46,2.08,-0.27,0.46,2.08,81.22,2.86,0.44,1.7,1.3,87.11,77.92,69.69,69.69,51.5,51.75,46.15,48.26,42750,43750,84250,80250,89.2,89.2,83.3,83.9,23.08,24.52,103.3,103.9,105.604489213783,105.039433523068,36.5,"1st",102.3,103.26,"Si",1.7,54,45892.8571428571,87.6285714285714,-1.7153466540927,-1.83970145878465,-1.29137723149181,-1.4017853353941,"100",22.3221387386555,1.2,0.91,1.02,1.21,1.01,1.07,20
"45","2019-04-10 00:00:10","M.oxyotus","001","4","2","2","2019-04-09_008","M.oxyotus","H","22","2",21.8,100,346,4.0365,4.0308,0.23,1.77,1.97,0.23,1.77,1.97,37.8,3.06,2.41,2.5,2,86.38,81.9,54.02,54.02,53.25,53.5,101.16,50.27,45250,45750,109500,110250,92.7,92.7,86.2,86.8,23.08,24.52,106.2,106.8,110.17940008672,109.81029995664,64.5,"1st",106.6,106.72,"Si",1.7,54,45892.8571428571,87.6285714285714,-1.81190241709789,-1.83970145878465,-1.39434630272702,-1.4017853353941,"100",18.5932084781779,1.2,1.23,1.16,1.2,1.15,1.28,20
"46","2019-04-10 00:00:20","M.oxyotus","001","5","1","2","2019-04-09_008","M.oxyotus","H","22","1",21.8,100,346,6.6206,6.6153,0.15,1.6,2.06,0.15,1.6,2.06,42.01,2.97,2.21,2.8,2.1,94.38,84.05,73.75,73.75,53.5,53.75,50.25,51.25,45750,46250,114500,115250,96.8,96.8,90.3,91.1,23.47,24.44,110.3,111.1,114.771580313422,114.322192947339,69,"1st",108.35,110,"Si",1.7,54,45892.8571428571,87.6285714285714,-1.82579057192853,-1.83970145878465,-1.4204301715914,-1.4017853353941,"100",18.1708725108295,1.2,1.52,1.4,1.2,1.4,1.3,20
"47","2019-04-10 00:00:43","M.oxyotus","001","7","1","2","2019-04-09_008","M.oxyotus","H","22","1",21.9,100,346,4.7165,4.7123,0.07,0.95,2.24,0.07,0.95,2.24,58.13,2.88,1.52,2.5,1.9,98.57,85.86,72.2,72.2,53.5,54,97.25,50.5,45000,45750,119750,120250,96.1,96.1,89.5,90.2,23.17,23.83,109.5,110.2,113.47940008672,112.987536009528,74.5,"1st",109.075,109.75,"Si",1.7,54,45892.8571428571,87.6285714285714,-1.83776332363778,-1.83776332363778,-1.39208379455039,-1.39952451049183,"100",19.0372119668405,1.2,1.41,1.35,1.2,1.35,1.25,20
"48","2019-04-10 00:05:49","M.keaysi","002","2","1","2","2019-04-09_009","M.keaysi","M","22","1",21.7,100,345.9,5.9116,5.9035,0.37,2.75,1.21,0.37,2.75,1.21,5.49,3.92,3.9,2.1,1.5,115.15,99.42,81.8,81.8,75.5,75.5,61.99,64.52,58500,59750,112750,103000,99.9,99.9,93.5,94.4,23.54,24.8,113.5,114.4,116.722192947339,116.160912590557,43.25,"1st",114.4,114.4,"Si",1.41818181818182,75.3863636363636,58704.5454545455,94.9545454545455,-3.0945291182082,-3.08770389475243,-2.16668333056616,-2.10685672367047,"100",19.5144800276986,1.42,1.42,1.39,1.42,1.39,1.45,20
"49","2019-04-10 00:05:49","M.keaysi","002","2","1","2","2019-04-09_009","M.keaysi","M","22","1",21.7,100,345.9,6.0076,6.0007,0.4,2.37,1.19,0.4,2.37,1.19,18.04,3.98,3.8,2,1.5,113.43,98.47,82.05,82.05,75.75,75.75,61,64.28,58000,59500,110750,102000,99.8,99.8,93.4,94.4,23.54,24.8,113.4,114.4,116.41029995664,116.160912590557,42.5,"1st",114.4,114.4,"Si",1.41818181818182,75.3863636363636,58704.5454545455,94.9545454545455,-3.1095495417471,-3.08770389475243,-2.15235064875641,-2.10685672367047,"100",19.5144800276986,1.42,1.41,1.39,1.42,1.39,1.45,20
"50","2019-04-10 00:06:37","M.keaysi","002","3","1","2","2019-04-09_009","M.keaysi","M","22","4",21.8,100,346,0.1519,0.1458,0,2.09,0.88,0,2.09,0.88,13.28,3.19,3.1,2,1.5,118.95,106.79,81.3,81.3,80.75,80.75,61.78,65.09,58750,60500,117250,107250,102.9,102.9,96.8,97.6,16.93,17.5,116.8,117.6,119.81029995664,119.360912590557,46.75,"1st",116.175,117.03,"Si",1.41818181818182,75.3863636363636,58704.5454545455,94.9545454545455,-3.41336851282081,-3.08871463031472,-2.20847364649945,-2.10536014507106,"100",19.5144800276986,1.42,1.54,1.51,1.37,1.57,1.45,20
"51","2019-04-10 00:06:37","M.keaysi","002","3","2","2","2019-04-09_009","M.keaysi","M","22","4",21.8,100,346,3.601,3.5939,1.1,2.2,1.33,1.1,2.2,1.33,0,3.9,3.89,2.1,1.5,118.22,103.5,80.59,80.59,80,80,61.25,63.75,57750,60000,115000,104500,104.6,104.6,97.5,98.6,16.93,17.5,117.5,118.6,120.722192947339,120.360912590557,44.5,"1st",114.9,116.85,"Si",1.41818181818182,75.3863636363636,58704.5454545455,94.9545454545455,-3.36780283975614,-3.08871463031472,-2.17967262880035,-2.10536014507106,"100",19.5144800276986,1.42,1.6,1.58,1.38,1.63,1.45,20
"52","2019-04-10 00:06:37","M.keaysi","002","3","3","2","2019-04-09_009","M.keaysi","M","22","4",21.8,100,346,6.5834,6.5774,0.13,2.04,1.49,0.13,2.04,1.49,4.8,3.93,3.9,2.1,1.5,114.25,98.25,82.6,82.6,74.5,74.5,60.48,62.48,56750,58500,110250,102000,102.8,102.8,95.7,96.7,16.93,17.5,115.7,116.7,118.922192947339,118.460912590557,43.5,"1st",116.3,116.46,"Si",1.41818181818182,75.3863636363636,58704.5454545455,94.9545454545455,-3.03535819046076,-3.08871463031472,-2.09366876502051,-2.10536014507106,"100",19.5144800276986,1.42,1.55,1.53,1.43,1.52,1.45,20
"53","2019-04-10 00:06:37","M.keaysi","002","3","4","2","2019-04-09_009","M.keaysi","M","22","4",21.8,100,346,9.3176,9.311,0.08,2.28,1.21,0.08,2.28,1.21,7.51,4.07,4,2.1,1.5,115.88,99.09,81.56,81.56,74.75,74.75,60.72,63.1,57250,59000,112750,102750,102.7,102.7,96.1,97.2,16.93,17.5,116.1,117.2,119.322192947339,118.960912590557,43.75,"1st",116.125,116.9,"Si",1.41818181818182,75.3863636363636,58704.5454545455,94.9545454545455,-3.05039818572473,-3.08871463031472,-2.12226836470948,-2.10536014507106,"100",19.5144800276986,1.42,1.58,1.55,1.43,1.55,1.45,20
"54","2019-04-10 00:06:48","M.keaysi","002","4","1","2","2019-04-09_009","M.keaysi","M","22","3",21.8,100,346,2.3917,2.3868,0.33,1.67,1.23,0.33,1.67,1.23,15.64,4.08,3.9,2.2,1.4,115.75,98.68,81.96,81.96,75.75,75.75,60.5,63.51,57000,59000,112000,102500,102.6,102.6,95.7,97,17,17.28,115.7,117,119.124226808222,118.461280356782,43.5,"1st",116.175,116.65,"Si",1.41818181818182,75.3863636363636,58704.5454545455,94.9545454545455,-3.11063047137697,-3.08871463031472,-2.12226836470948,-2.10536014507106,"100",20.1116940690041,1.42,1.52,1.53,1.42,1.53,1.41,20
"55","2019-04-10 00:06:48","M.keaysi","002","4","2","2","2019-04-09_009","M.keaysi","M","22","3",21.8,100,346,5.5246,5.518,0.12,2.29,1.17,0.12,2.29,1.17,0,4.07,4.14,2.2,1.5,117.02,98.67,81.67,81.67,76,76,61,63,57250,59000,111750,102500,103.1,103.1,96,97.1,17,17.28,116,117.1,119.424226808222,118.860912590557,43.5,"1st",116.65,117.04,"Si",1.41818181818182,75.3863636363636,58704.5454545455,94.9545454545455,-3.12570618194286,-3.08871463031472,-2.12226836470948,-2.10536014507106,"100",19.5144800276986,1.42,1.56,1.53,1.41,1.54,1.45,20
"56","2019-04-10 00:06:48","M.keaysi","002","4","3","2","2019-04-09_009","M.keaysi","M","22","3",21.8,100,346,8.9653,8.9584,0.18,2.37,1.25,0.18,2.37,1.25,8.52,3.85,3.8,2,1.4,113.23,98.25,81.68,81.68,73.5,73.5,60.98,63.59,57500,59000,111000,102250,101.8,101.8,95.9,97,17,17.28,115.9,117,118.91029995664,118.461280356782,43.25,"1st",116.05,116.46,"Si",1.41818181818182,75.3863636363636,58704.5454545455,94.9545454545455,-2.97527326986628,-3.08871463031472,-2.12226836470948,-2.10536014507106,"100",20.1116940690041,1.42,1.55,1.55,1.44,1.53,1.41,20
"57","2019-04-10 00:06:58","M.keaysi","002","5","1","2","2019-04-09_009","M.keaysi","M","22","3",21.8,100,346,2.3473,2.3409,0.35,2.21,1,0.35,2.21,1,5.13,4.21,4.2,2.1,1.4,115.75,99.18,80.44,80.44,76,76,60.5,62.76,56750,58500,113250,102750,102.4,102.4,95.7,96.9,19.93,20.98,115.7,116.9,118.922192947339,118.361280356782,44.25,"1st",116.075,116.57,"Si",1.41818181818182,75.3863636363636,58704.5454545455,94.9545454545455,-3.12570618194286,-3.08871463031472,-2.09366876502051,-2.10536014507106,"100",20.1116940690041,1.42,1.52,1.52,1.41,1.53,1.41,20
"58","2019-04-10 00:06:58","M.keaysi","002","5","2","2","2019-04-09_009","M.keaysi","M","22","3",21.8,100,346,5.8597,5.8551,0.55,1.51,1,0.55,1.51,1,31.33,4.03,3.41,1.9,1.3,111.06,97.32,80.5,80.5,80.5,80.5,61.5,63.48,58000,59750,104500,101500,103.7,103.7,96.3,97.3,19.93,20.98,116.3,117.3,119.087536009528,118.439433523068,41.75,"1st",114.6,116.22,"Si",1.41818181818182,75.3863636363636,58704.5454545455,94.9545454545455,-3.39817426598577,-3.08871463031472,-2.16529650441074,-2.10536014507106,"100",20.7531852925032,1.42,1.46,1.5,1.37,1.55,1.38,20
"59","2019-04-10 00:06:58","M.keaysi","002","5","3","2","2019-04-09_009","M.keaysi","M","22","3",21.8,100,346,8.8403,8.8348,0.85,1.7,1.04,0.85,1.7,1.04,1.32,3.62,3.6,2,1.4,117.67,103.75,81.21,81.21,81.5,81.5,60.49,63.41,57250,59750,115250,104750,104.4,104.4,97.4,98.4,19.93,20.98,117.4,118.4,120.41029995664,119.861280356782,45,"1st",118.025,118.25,"Si",1.41818181818182,75.3863636363636,58704.5454545455,94.9545454545455,-3.45898475589064,-3.08871463031472,-2.16529650441074,-2.10536014507106,"100",20.1116940690041,1.42,1.54,1.55,1.37,1.62,1.41,20
"60","2019-04-10 00:07:09","M.keaysi","002","6","1","2","2019-04-09_009","M.keaysi","M","22","3",21.8,100,346,1.6559,1.6484,1.05,2.39,1.08,1.05,2.39,1.08,10.75,3.75,3.7,2.1,1.5,116.4,99.87,80.75,80.75,81,81,60.5,63.22,57250,59500,113500,103500,104.5,104.5,97.2,98.3,22.42,23.52,117.2,118.3,120.422192947339,120.060912590557,44,"1st",117.975,118.2,"Si",1.41818181818182,75.3863636363636,58704.5454545455,94.9545454545455,-3.42856837759378,-3.08871463031472,-2.15093693409556,-2.10536014507106,"100",19.5144800276986,1.42,1.58,1.55,1.37,1.61,1.45,20
"61","2019-04-10 00:07:09","M.keaysi","002","6","2","2","2019-04-09_009","M.keaysi","M","22","3",21.8,100,346,5.8555,5.8504,0.05,1.75,1.21,0.05,1.75,1.21,8.47,3.69,3.6,2.1,1.5,118.54,105.86,81.55,81.55,73.75,73.75,60.77,63.28,57250,59000,115500,105000,104,104,97.9,98.9,22.42,23.52,117.9,118.9,121.122192947339,120.660912590557,46,"1st",118.2,118.65,"Si",1.41818181818182,75.3863636363636,58704.5454545455,94.9545454545455,-2.99028304996799,-3.08871463031472,-2.12226836470948,-2.10536014507106,"100",19.5144800276986,1.42,1.7,1.67,1.44,1.65,1.45,20
"62","2019-04-10 00:07:09","M.keaysi","002","6","3","2","2019-04-09_009","M.keaysi","M","22","3",21.8,100,346,10.0204,10.0147,0.06,1.94,1.14,0.06,1.94,1.14,6.68,3.78,3.7,2,1.5,119.57,107.25,81.59,81.59,75,75,61,63.76,57750,59500,116500,107250,105.5,105.5,99.1,100,22.42,23.52,119.1,120,122.11029995664,121.760912590557,47.75,"1st",118.025,119.1,"Si",1.41818181818182,75.3863636363636,58704.5454545455,94.9545454545455,-3.06544550061398,-3.08871463031472,-2.15093693409556,-2.10536014507106,"100",19.5144800276986,1.42,1.75,1.72,1.42,1.71,1.45,20
"63","2019-04-10 00:07:20","M.keaysi","002","7","1","2","2019-04-09_009","M.keaysi","M","22","1",21.8,100,346,2.4973,2.4889,0.34,2.89,0.99,0.34,2.89,0.99,0,4.52,4.53,1.9,1.3,115.45,99.07,80.86,80.86,75.25,75.25,61.1,64,58000,59500,113000,102750,100.2,100.2,93.9,95.1,17.91,18.59,113.9,115.1,116.687536009528,116.239433523068,43.25,"1st",114.55,114.9,"Si",1.41818181818182,75.3863636363636,58704.5454545455,94.9545454545455,-3.08050004507498,-3.08871463031472,-2.15093693409556,-2.10536014507106,"100",20.7531852925032,1.42,1.39,1.43,1.42,1.43,1.38,20
"64","2019-04-10 00:16:34","M.riparius","003","9","1","2","2019-04-09_010","M.riparius","M","22","2",21.4,100,345.7,0.0322,0.0268,0.19,1.84,1.31,0.19,1.84,1.31,30.45,3.49,3.01,2.4,1.8,118.67,106.79,82.75,82.75,82.75,82.75,61.03,62.99,57500,59500,117250,107000,102,102,94.7,95.6,16.89,18.14,114.7,115.6,118.502112417116,118.152725051033,47.5,"1st",115.2,115.44,"Si",1.59,81.775,59975,95.52,-3.52439935108699,-3.46585670702058,-2.1562790330491,-2.18336350340143,"100",18.9261791537281,1.39,1.44,1.39,1.39,1.4,1.45,20
"65","2019-04-10 00:16:34","M.riparius","003","9","2","2","2019-04-09_010","M.riparius","M","22","2",21.4,100,345.7,6.8302,6.8225,0.61,2.61,1.21,0.61,2.61,1.21,20.93,3.75,3.5,2.2,1.5,115.1,100.25,82.41,82.41,73.5,73.5,60.54,63,57250,59500,113000,104500,100.3,100.3,94.2,95.3,16.89,18.14,114.2,115.3,117.624226808222,117.060912590557,45,"1st",112.775,114.05,"Si",1.59,81.775,59975,95.52,-2.97214101142252,-3.46585670702058,-2.1562790330491,-2.18336350340143,"100",20.5043855887308,1.39,1.43,1.46,1.47,1.38,1.37,20
"66","2019-04-10 00:16:45","M.riparius","003","10","1","2","2019-04-09_010","M.riparius","M","22","2",21.4,100,345.7,0.2164,0.211,0.83,1.66,1.11,0.83,1.66,1.11,25.01,3.66,3.31,2.3,1.7,113.75,100.7,81.7,81.7,82.25,82.25,60.76,63.03,57250,59250,112250,104250,102.7,102.7,95.4,96.4,17.95,18.99,115.4,116.4,119.017278360176,118.704489213783,45,"1st",114.375,115.45,"Si",1.59,81.775,59975,95.52,-3.49436874877196,-3.46585670702058,-2.14204594743215,-2.18336350340143,"100",19.4209521148799,1.39,1.47,1.44,1.39,1.44,1.42,20
"67","2019-04-10 00:16:45","M.riparius","003","10","2","2","2019-04-09_010","M.riparius","M","22","2",21.4,100,345.7,4.002,3.9963,0.47,1.91,1.06,0.47,1.91,1.06,20.85,3.73,3.5,2.3,1.7,114.08,100.88,81.8,81.8,82,82,61.02,63.26,57250,59250,113000,104250,101.3,101.3,94.6,95.7,17.95,18.99,114.6,115.7,118.217278360176,118.004489213783,45,"1st",114.7,115.3,"Si",1.59,81.775,59975,95.52,-3.47936032707912,-3.46585670702058,-2.14204594743215,-2.18336350340143,"100",19.4209521148799,1.39,1.43,1.4,1.39,1.4,1.42,20
"68","2019-04-10 00:16:55","M.riparius","003","11","1","2","2019-04-09_010","M.riparius","M","22","3",21.4,100,345.7,1.393,1.3885,-0.01,1.48,0.78,-0.01,1.48,0.78,11.88,3.57,3.5,2.2,1.5,120.44,109.08,96.42,96.42,71.75,71.75,60.75,64.49,58000,60750,119250,111000,101,101,94.9,96,33.67,34.92,114.9,116,118.324226808222,117.760912590557,50.25,"1st",115.25,115.9,"Si",1.59,81.775,59975,95.52,-2.86858000193228,-3.46585670702058,-2.22766763575954,-2.18336350340143,"100",20.5043855887308,1.39,1.49,1.52,1.49,1.42,1.37,20
"69","2019-04-10 00:16:55","M.riparius","003","11","2","2","2019-04-09_010","M.riparius","M","22","3",21.4,100,345.7,4.6593,4.6537,0.05,1.89,0.73,0.05,1.89,0.73,7.18,3.63,3.6,2.2,1.6,117.75,105.5,96,96,82.5,82.5,60.5,62.97,57000,59250,117000,106500,100.6,100.6,94.3,95.2,33.67,34.92,114.3,115.2,117.724226808222,117.241199826559,47.25,"1st",113.9,114.68,"Si",1.59,81.775,59975,95.52,-3.50938176790597,-3.46585670702058,-2.14204594743215,-2.18336350340143,"100",19.945729162382,1.39,1.37,1.37,1.39,1.38,1.4,20
"70","2019-04-10 00:16:55","M.riparius","003","11","3","2","2019-04-09_010","M.riparius","M","22","3",21.4,100,345.7,8.2607,8.2564,0.01,1.46,0.88,0.01,1.46,0.88,0,3.64,3.66,2.3,1.6,117.1,103.59,82.15,82.15,82.75,82.75,60.25,63.23,57000,59750,115250,105500,100.6,100.6,93.9,94.9,33.67,34.92,113.9,114.9,117.517278360176,116.941199826559,45.75,"1st",114.225,114.63,"Si",1.59,81.775,59975,95.52,-3.52439935108699,-3.46585670702058,-2.17052728721537,-2.18336350340143,"100",19.945729162382,1.39,1.36,1.35,1.39,1.36,1.4,20
"71","2019-04-10 00:17:05","M.riparius","003","12","1","2","2019-04-09_010","M.riparius","M","22","1",21.4,100,345.7,6.6897,6.6882,-0.48,0.17,1.31,-0.48,0.17,1.31,48.02,1.52,1.01,1.6,1.2,108.95,98.43,82.09,82.09,82.5,82.5,61.02,63.93,58000,60750,105500,102500,97.5,97.5,90.6,91.6,25.04,26.14,110.6,111.6,112.641199826559,112.391812460476,41.75,"1st",110.8,111.28,"Si",1.59,81.775,59975,95.52,-3.50938176790597,-3.46585670702058,-2.22766763575954,-2.18336350340143,"100",22.435954158055,1.39,1.09,1.2,1.39,1.2,1.27,20
"72","2019-04-10 00:22:41","M.elegans","004","1","1","2","2019-04-09_011","M.group","M","22","1",21.8,100,346,2.9393,2.9374,-0.66,0.06,1.16,-0.66,0.06,1.16,58.95,2.14,1.13,1.4,0.9,112.18,98.75,80.11,80.11,75.5,75.5,60,65.2,58250,62750,106750,103250,98.3,98.3,92,93.7,32.01,32.77,112,113.7,113.461280356782,113.242425094393,40.5,"1st",112.75,113.22,"Si",1.7,75.6944444444444,58583.3333333333,96.3,-3.0955617308331,-3.10728125706248,-2.33884036205718,-2.09843049586364,"100",25.5052270388482,1.49,1.08,1.35,1.49,1.35,1.2,20
"73","2019-04-10 00:22:50","M.elegans","004","2","1","2","2019-04-09_011","M.group","M","22","1",21.8,100,346,5.5162,5.5101,0.12,2.05,1.56,0.12,2.05,1.56,27.46,3.31,2.91,2.6,1.9,115.28,101.1,82.95,82.95,83.25,83.25,60.52,62.25,56500,58500,113750,104000,105.2,105.2,97.6,98.4,26.89,27.75,117.6,118.4,121.749733479708,121.187536009528,45.5,"1st",116,118.19,"Si",1.7,75.6944444444444,58583.3333333333,96.3,-3.56561191004249,-3.10728125706248,-2.09366876502051,-2.09843049586364,"100",19.0372119668405,1.49,1.58,1.53,1.42,1.61,1.55,20
"74","2019-04-10 00:25:09","M.elegans","004","5","1","2","2019-04-09_011","M.group","M","22","2",21.9,99.9,346,3.8335,3.827,0.25,2.18,1.61,0.25,2.18,1.61,36.18,3.65,2.91,2.4,1.8,117.43,101.5,82.65,82.65,83,83,60.48,62,56000,57500,116000,104250,104.7,104.7,97.9,98.8,22.43,24.12,117.9,118.8,121.702112417116,121.352725051033,46.75,"1st",115.9,117.7,"Si",1.7,75.6944444444444,58583.3333333333,96.3,-3.5528451764987,-3.1082628444645,-2.03502392390232,-2.09687298300376,"100",19.5052270388482,1.49,1.58,1.55,1.42,1.64,1.52,20
"75","2019-04-10 00:25:09","M.elegans","004","5","2","2","2019-04-09_011","M.group","M","22","2",21.9,99.9,346,7.1701,7.1641,1.35,1.42,1.84,1.35,1.42,1.84,27.65,3.95,3.41,2.2,1.6,117.96,103.61,95.85,95.85,75,75,61.98,64.23,58250,60250,116000,105500,102.9,102.9,96.5,97.4,22.43,24.12,116.5,117.4,119.924226808222,119.441199826559,45.25,"1st",114.525,116.15,"Si",1.7,75.6944444444444,58583.3333333333,96.3,-3.06629506275595,-3.1082628444645,-2.19268039396653,-2.09687298300376,"100",20.524777047502,1.49,1.53,1.56,1.5,1.55,1.46,20
"76","2019-04-10 00:25:25","M.elegans","004","6","1","2","2019-04-09_011","M.group","M","22","1",21.9,99.9,346,5.6482,5.6419,0.9,1.94,1.48,0.9,1.94,1.48,14.98,3.93,3.8,2.6,1.8,116.64,100.35,80.6,80.6,65.75,66.5,59.73,62.22,56250,57750,113250,103750,104.2,104.2,98.1,99.2,20.13,21.28,118.1,119.2,122.249733479708,121.752725051033,46,"1st",117.9,118.68,"Si",1.7,75.6944444444444,58583.3333333333,96.3,-2.55799779482471,-3.1082628444645,-2.04926567903632,-2.09687298300376,"100",19.5052270388482,1.49,1.81,1.78,1.59,1.66,1.52,20
"77","2019-04-10 00:25:45","M.elegans","004","8","1","2","2019-04-09_011","M.group","M","22","2",22,99.9,346.1,7.5089,7.5029,-0.01,2.02,0.83,-0.01,2.02,0.83,46.29,2.18,1.51,2.1,1.4,120.61,109.25,95.46,95.46,71,71.25,61.22,64.99,58500,60750,119500,110750,101.7,101.7,95.9,97,22.4,24.41,115.9,117,119.122192947339,118.461280356782,50,"1st",114,115.8,"Si",1.7,75.6944444444444,58583.3333333333,96.3,-2.84081719046255,-3.10915634349151,-2.22018597202232,-2.09526749793063,"100",21.6806475151564,1.49,1.48,1.58,1.54,1.53,1.4,20
"78","2019-04-10 00:25:45","M.elegans","004","8","2","2","2019-04-09_011","M.group","M","22","2",22,99.9,346.1,2.3037,2.2991,-0.22,1.45,0.54,-0.22,1.45,0.54,49.83,2.03,1.31,1.8,1.4,120.1,108.84,72.45,72.45,72.25,72.25,61.5,63.97,58500,60500,117500,109250,97.9,97.9,91.3,92.1,22.4,24.41,111.3,112.1,113.852725051033,113.561280356782,48.75,"1st",110.6,111.5,"Si",1.7,75.6944444444444,58583.3333333333,96.3,-2.90095751544049,-3.10915634349151,-2.20570642558545,-2.09526749793063,"100",21.6806475151564,1.49,1.21,1.29,1.53,1.27,1.4,20
"79","2019-04-10 00:25:54","M.elegans","004","9","1","2","2019-04-09_011","M.group","M","22","1",22,99.9,346.1,6.7047,6.6985,0.13,2.07,0.61,0.13,2.07,0.61,13.6,3.58,3.5,2.1,1.5,118.69,104.25,95.54,95.54,71.5,71.5,61,63.46,57750,60000,115500,105500,101,101,94.9,95.9,28.94,30.11,114.9,115.9,118.122192947339,117.660912590557,45.5,"1st",114.1,115.18,"Si",1.7,75.6944444444444,58583.3333333333,96.3,-2.85583849086954,-3.10915634349151,-2.17679760644144,-2.09526749793063,"100",21.0834334738509,1.49,1.45,1.51,1.54,1.47,1.43,20
"80","2019-04-10 00:32:06","M.keaysi","005","2","1","2","2019-04-09_012","M.keaysi","H","22","1",21.8,100,346,0.2543,0.2484,0.17,2.05,1.07,0.17,2.05,1.07,35.95,2.34,1.9,2.3,1.7,120.3,107.02,81.59,81.59,74,74,62.96,65.78,59500,61500,117750,108000,101.1,101.1,94.7,95.7,13.56,13.96,114.7,115.7,118.317278360176,118.004489213783,46.5,"1st",114.95,115.4,"Si",1.36666666666667,72.4166666666667,62000,95.1333333333333,-3.00530052801118,-2.91032230121172,-2.26626465010276,-2.29525123894438,"100",18.1107599758795,1.46,1.58,1.47,1.44,1.49,1.57,20
"81","2019-04-10 00:33:52","M.keaysi","005","4","1","2","2019-04-09_012","M.keaysi","H","22","1",21.6,100,345.8,0.1813,0.1754,0.28,1.95,1.67,0.28,1.95,1.67,41.08,2.52,1.91,1.2,0.9,102.54,95.86,82.34,82.34,82.5,82.75,67.9,72.5,66000,67750,102250,99250,100.2,100.2,93.2,94.4,13.33,13.88,113.2,114.4,113.991812460476,113.942425094393,31.5,"1st",114.325,114.37,"Si",1.36666666666667,72.4166666666667,62000,95.1333333333333,-3.5299628861417,-2.90932247336681,-2.63300258047873,-2.29744723804325,"100",23.6159870147277,1.46,1.16,1.33,1.36,1.42,1.26,20
"82","2019-04-10 00:34:41","M.keaysi","005","7","1","2","2019-04-09_012","M.keaysi","H","22","1",21.7,100,345.9,4.3477,4.3431,-0.49,0.69,2.46,-0.49,0.69,2.46,38.27,2.56,2.01,1.4,1,112.41,99.89,81.69,81.69,82,82,64.27,66.53,60750,62500,110250,103500,97.6,97.6,90.7,91.9,17.5,18.11,110.7,111.9,112.161280356782,111.9,41,"1st",110.5,111.34,"Si",1.36666666666667,72.4166666666667,62000,95.1333333333333,-3.48705774325487,-2.90986356490523,-2.32536127385738,-2.29637819637817,"100",22.7039684540574,1.46,1.09,1.21,1.37,1.28,1.31,20
"83","2019-04-10 01:09:38","M.oxyotus","001","3","1","3","2019-04-09_015","M.oxyotus","H","24","1",23.2,99.6,346.8,0.1828,0.177,0.71,1.77,1.77,0.71,1.77,1.77,46.68,2.64,1.81,3.8,3.1,99.93,89.55,73.87,73.87,75,75,96.75,99.5,44750,45500,117000,117000,95.7,95.7,89.3,89.8,20.89,21.59,109.3,109.8,115.097835966168,114.713616938343,71.5,"1st",108.9,109.44,"Si",1.7,54,45892.8571428571,87.6285714285714,-3.06965758644836,-1.80946532046895,-1.34819926029834,-1.36862268525683,"100",14.7995991851808,1.2,1.43,1.16,1.06,1.33,1.52,20
"84","2019-04-10 01:09:44","M.oxyotus","001","4","1","3","2019-04-09_015","M.oxyotus","H","24","1",23.2,99.6,346.8,4.5227,4.5169,-0.48,1.72,2.04,-0.48,1.72,2.04,9.11,3.14,3.1,3.3,2.6,91.68,84.24,82.53,82.53,53.25,53.5,96.02,98.7,44750,45250,116750,117000,93.1,93.1,87.8,88.4,14.13,14.56,107.8,108.4,112.985139398779,112.549733479708,71.75,"1st",107.5,108.04,"Si",1.7,54,45892.8571428571,87.6285714285714,-1.78131185730326,-1.80946532046895,-1.33525279019042,-1.36862268525683,"100",16.3221387386555,1.2,1.47,1.25,1.21,1.24,1.42,20
